,DHSID,LAT_GPS,LON_GPS,CLUSTNUM,URBAN_RURA,wealth_index,education_completed_yrs,electricity_access,RADIUS(KM)
25,PH201700000411,16.6047734394,120.394231891,411.0,R,-3083.76,9.96,1.0,10
26,PH201700000412,16.6127746071,120.425129655,412.0,R,-28456.0,7.96,0.92,10
28,PH201700000414,16.5680614565,120.333674028,414.0,R,20654.60869565217,9.73913043478261,0.9565217391304348,10
30,PH201700000416,16.6082774491,120.309589968,416.0,U,111760.25,11.625,0.875,2
31,PH201700000417,16.8693361065,120.41176471,417.0,R,3551.458333333333,8.166666666666666,0.875,10
32,PH201700000418,16.636631768,120.308604136,418.0,R,103794.08695652174,12.782608695652174,1.0,10
33,PH201700000419,16.8046924407,120.378311062,419.0,U,-76698.0,6.923076923076923,0.8846153846153846,2
34,PH201700000420,16.5117161996,120.400757682,420.0,R,4724.0,8.958333333333334,0.9166666666666666,10
35,PH201700000421,16.4375976521,120.420799784,421.0,R,25483.33333333333,10.0,0.9629629629629628,10
36,PH201700000422,16.0631382636,120.460594808,422.0,R,51619.21739130434,10.434782608695652,1.0,10
37,PH201700000423,16.0313102546,120.668895924,423.0,R,2734.5,8.875,0.9166666666666666,10
38,PH201700000424,16.1029033381,120.416596684,424.0,R,18880.346153846152,9.615384615384617,1.0,10
39,PH201700000425,16.1614930189,119.988176487,425.0,U,103751.73684210528,12.210526315789474,1.0,2
40,PH201700000426,16.0823664243,120.356493743,426.0,U,36874.77272727273,10.909090909090908,1.0,2
41,PH201700000427,16.0118326507,120.315136813,427.0,R,7844.777777777777,9.0,0.9629629629629628,10
42,PH201700000428,15.964959538,120.707268021,428.0,R,67153.13043478261,11.478260869565217,0.9130434782608696,10
43,PH201700000429,15.83846844,120.574150936,429.0,R,25182.416666666668,10.25,0.9166666666666666,10
44,PH201700000430,15.8153018331,120.476887248,430.0,R,44553.045454545456,11.0,1.0,10
45,PH201700000431,16.0958766189,119.924832609,431.0,R,5937.65,9.35,1.0,10
46,PH201700000432,15.7633575828,120.273206082,432.0,R,-18499.75,8.833333333333334,0.9166666666666666,10
47,PH201700000433,15.9121949189,120.208989175,433.0,R,-34382.217391304344,8.956521739130435,0.9130434782608696,10
48,PH201700000434,20.4587800434,121.959544853,434.0,U,106340.52631578948,12.63157894736842,1.0,2
49,PH201700000435,20.7059422866,121.820133389,435.0,R,-12791.869565217392,8.826086956521738,0.9565217391304348,10
50,PH201700000436,20.4704574705,121.979452247,436.0,R,92266.0,12.130434782608695,1.0,10
51,PH201700000437,20.4181153595,121.95573768,437.0,R,87688.95238095238,11.333333333333334,1.0,10
52,PH201700000438,20.3762818247,121.949880759,438.0,R,91036.6,12.85,1.0,10
53,PH201700000439,20.4490423128,121.992930678,439.0,R,58356.23809523809,9.38095238095238,1.0,10
54,PH201700000440,20.4508083072,121.972764094,440.0,R,117893.95,13.8,1.0,10
55,PH201700000441,20.3595633853,121.940570287,441.0,R,56001.3,12.65,0.95,10
56,PH201700000442,20.4262736131,121.969449219,442.0,R,74045.625,9.5625,0.9375,10
57,PH201700000443,20.4596882405,121.969408642,443.0,R,72673.45454545454,11.545454545454543,1.0,10
58,PH201700000444,20.3892435535,121.93981487,444.0,R,86029.8947368421,12.105263157894736,1.0,10
59,PH201700000445,20.4127872611,121.94249903,445.0,R,77072.08333333333,11.791666666666666,0.9583333333333334,10
60,PH201700000446,18.0372019111,121.618038197,446.0,R,33535.27272727273,10.227272727272728,0.9090909090909092,10
61,PH201700000447,18.591553509,121.114617486,447.0,R,-20079.5,9.583333333333334,0.9583333333333334,10
63,PH201700000449,17.9166873155,121.785625578,449.0,R,21013.590909090908,9.954545454545457,1.0,10
64,PH201700000450,17.6660657175,121.755244822,450.0,R,95403.8,11.32,1.0,10
65,PH201700000451,17.793126811,121.83456266,451.0,R,-65808.25,6.8,0.8,10
66,PH201700000452,18.3340008363,122.107913321,452.0,R,-1983.0869565217392,7.608695652173913,1.0,10
67,PH201700000453,18.3893951619,121.521611849,453.0,R,49815.181818181816,10.818181818181818,1.0,10
68,PH201700000454,17.838990158,121.60110842,454.0,R,-25148.2,8.2,1.0,10
69,PH201700000455,17.9397306001,121.730064575,455.0,R,37069.52,10.08,0.96,10
70,PH201700000456,17.6888871352,121.831430914,456.0,R,13164.260869565218,9.608695652173912,0.9565217391304348,10
71,PH201700000457,17.8689614628,121.747759285,457.0,R,-59617.92307692308,7.0,0.9615384615384616,10
72,PH201700000458,17.1195651672,121.61326909,458.0,U,15807.391304347826,8.434782608695652,0.9130434782608696,2
73,PH201700000459,17.2035972542,121.622938008,459.0,R,1484.85,9.25,1.0,10
74,PH201700000460,17.1432834767,121.737711257,460.0,R,39315.04166666666,11.0,1.0,10
75,PH201700000461,16.7241335717,121.570178942,461.0,U,-11914.727272727272,8.045454545454545,0.9545454545454546,2
76,PH201700000462,16.9043395913,121.881679077,462.0,R,-32701.60869565217,11.347826086956522,0.9130434782608696,10
77,PH201700000463,16.7143381207,121.715247602,463.0,R,2817.478260869565,13.565217391304348,0.9565217391304348,10
78,PH201700000464,17.142472891,121.932136534,464.0,R,54114.944444444445,9.555555555555555,1.0,10
79,PH201700000465,16.9302331476,121.878531834,465.0,R,-616.9583333333334,7.375,1.0,10
80,PH201700000466,17.475246427,121.747387687,466.0,R,-35183.2,7.6,1.0,10
81,PH201700000467,16.7734408896,121.466174717,467.0,R,70386.07692307692,10.038461538461538,1.0,10
82,PH201700000468,16.5625332822,121.710959327,468.0,R,-44703.34782608696,6.695652173913044,1.0,10
83,PH201700000469,16.8944766572,121.810577744,469.0,R,1908.6666666666667,7.958333333333333,0.9583333333333334,10
84,PH201700000470,16.5443933577,121.220634065,470.0,R,11905.916666666666,9.875,1.0,10
85,PH201700000471,16.4760419715,121.160198718,471.0,U,52084.73684210526,12.473684210526317,1.0,2
86,PH201700000472,16.2859621798,121.004565985,472.0,R,21740.12,9.6,1.0,10
87,PH201700000473,16.4007008032,121.107206359,473.0,U,127691.69565217392,12.869565217391305,1.0,2
88,PH201700000474,16.2034459573,120.984122615,474.0,R,-55687.92,6.64,0.92,10
89,PH201700000475,16.2307779689,121.32740214,475.0,R,-35008.72727272727,7.545454545454546,0.9090909090909092,10
90,PH201700000476,16.5641752522,121.268236507,476.0,R,44295.307692307695,9.615384615384617,1.0,10
91,PH201700000477,16.5661405264,121.165959301,477.0,R,4375.363636363636,8.363636363636363,1.0,10
92,PH201700000478,16.6307217885,121.335664604,478.0,R,-70235.95454545454,7.318181818181818,0.9545454545454546,10
93,PH201700000479,16.2762763247,121.059895091,479.0,R,22330.434782608696,9.391304347826088,1.0,10
94,PH201700000480,16.3371962617,121.088188877,480.0,R,24807.130434782608,10.869565217391305,0.9565217391304348,10
95,PH201700000481,16.3964847521,121.060014784,481.0,R,-93067.44,6.32,0.84,10
96,PH201700000482,16.5068317016,121.542518961,482.0,R,85677.54166666667,10.791666666666666,1.0,10
97,PH201700000483,16.5805229373,121.52630777,483.0,R,-3099.2,7.52,1.0,10
98,PH201700000484,16.4812507172,121.400009072,484.0,R,-48272.15789473684,5.421052631578948,0.8421052631578947,10
99,PH201700000485,16.3402347077,121.697389435,485.0,R,90472.52173913045,11.130434782608695,1.0,10
100,PH201700000486,16.2696358357,121.680291812,486.0,R,35422.55,10.4,0.95,10
101,PH201700000487,16.1398344416,121.55377114,487.0,R,-24271.75,4.5,0.8,10
102,PH201700000488,16.5838099872,121.52008023,488.0,U,69414.3,11.85,1.0,2
103,PH201700000489,16.5378446565,121.556819627,489.0,R,28234.0,7.833333333333333,0.9166666666666666,10
104,PH201700000490,16.5625780849,121.44719105,490.0,R,-55616.4,9.96,0.88,10
105,PH201700000491,16.4717892428,121.604448372,491.0,R,58319.27272727273,10.363636363636363,1.0,10
106,PH201700000492,16.3142103011,121.629870453,492.0,R,35819.27272727273,9.272727272727272,0.9545454545454546,10
107,PH201700000493,16.3744251742,121.615609771,493.0,R,-57174.86956521739,5.565217391304348,0.8695652173913043,10
108,PH201700000494,15.8456353005,121.513376709,494.0,R,77074.21739130435,10.130434782608695,1.0,10
109,PH201700000495,15.9701177016,121.538375209,495.0,R,-41857.76190476191,7.428571428571429,0.8095238095238095,10
110,PH201700000496,16.4345661448,122.165967997,496.0,R,3768.375,9.083333333333334,1.0,10
111,PH201700000497,15.7433180431,121.545904966,497.0,R,112201.57142857143,13.38095238095238,1.0,10
112,PH201700000498,15.7791032678,121.486129225,498.0,R,-4039.764705882353,8.764705882352942,0.8235294117647058,10
113,PH201700000499,15.728919104,121.476646337,499.0,R,28343.0,9.583333333333334,1.0,10
114,PH201700000500,15.8132405517,121.513375306,500.0,R,19667.5,8.6,1.0,10
115,PH201700000501,16.0010219215,121.645126108,501.0,R,-30268.875,7.541666666666667,0.8333333333333334,10
116,PH201700000502,16.2023107601,122.016389929,502.0,R,-34608.13043478261,7.043478260869565,0.8695652173913043,10
117,PH201700000503,15.7273122899,121.520341717,503.0,R,9501.739130434782,10.08695652173913,1.0,10
118,PH201700000504,15.729736111,121.521845296,504.0,R,20062.83333333333,10.0,1.0,10
119,PH201700000505,15.6555441398,121.603772311,505.0,R,-41633.15789473684,7.263157894736842,0.9473684210526316,10
120,PH201700000506,14.851177433,120.480883879,506.0,R,113879.86363636365,11.454545454545457,1.0,10
121,PH201700000507,14.6288863203,120.454381544,507.0,R,47172.88,8.36,1.0,10
122,PH201700000508,14.6581039932,120.295559304,508.0,U,38903.15,7.7,1.0,2
123,PH201700000509,14.6679302955,120.546272155,509.0,U,65480.7037037037,9.62962962962963,1.0,2
124,PH201700000510,14.6525511319,120.502748922,510.0,R,96320.625,9.375,1.0,10
125,PH201700000511,14.6227961184,120.561278514,511.0,U,89610.0,10.428571428571429,0.9523809523809524,2
126,PH201700000512,14.5554910095,120.408237766,512.0,R,76654.17391304347,11.130434782608695,1.0,10
127,PH201700000513,14.8136306091,120.539013703,513.0,U,77610.73913043478,10.869565217391305,0.9130434782608696,2
128,PH201700000514,14.7349548849,120.280646984,514.0,R,19821.85,9.35,0.8,10
129,PH201700000515,14.5699289833,120.594097456,515.0,U,103761.95,11.2,1.0,2
130,PH201700000516,14.5674700963,120.5871933,516.0,U,13709.08,9.12,0.8,2
131,PH201700000517,14.4514319987,120.505629209,517.0,R,61214.769230769234,9.846153846153848,0.9615384615384616,10
132,PH201700000518,14.8571753523,120.971486923,518.0,U,109539.33333333331,9.555555555555555,0.9444444444444444,2
133,PH201700000519,14.8638958988,121.04879276,519.0,U,49453.066666666666,8.666666666666666,1.0,2
134,PH201700000520,14.7871823767,121.019181349,520.0,U,130956.33333333331,11.833333333333334,1.0,2
135,PH201700000521,14.8881777466,120.837529011,521.0,U,90604.95652173914,11.08695652173913,0.9565217391304348,2
136,PH201700000522,14.8503657436,120.735346966,522.0,U,95422.26086956522,9.956521739130435,0.9565217391304348,2
137,PH201700000523,14.8598849909,120.909549379,523.0,U,67175.04,7.92,1.0,2
138,PH201700000524,14.8915666191,120.92787133,524.0,R,45351.333333333336,9.083333333333334,0.9583333333333334,10
139,PH201700000525,15.2314746864,121.026827484,525.0,R,36235.5652173913,8.0,1.0,10
140,PH201700000526,14.9539508653,120.934571793,526.0,R,69420.33333333333,9.083333333333334,1.0,10
141,PH201700000527,14.9193564596,120.783008498,527.0,U,112341.52,10.24,1.0,2
142,PH201700000528,14.7012272505,120.934872782,528.0,U,110569.26315789472,10.36842105263158,0.9473684210526316,2
143,PH201700000529,14.8110724556,120.721837801,529.0,U,28514.82608695652,7.434782608695652,0.9565217391304348,2
144,PH201700000530,15.7304280095,120.895385789,530.0,R,-445.34615384615387,8.76923076923077,0.8461538461538461,10
145,PH201700000531,15.602572976,120.90233132,531.0,R,50729.82608695652,9.608695652173912,0.9565217391304348,10
146,PH201700000532,15.6350272285,121.245183692,532.0,R,-1609.6666666666667,7.333333333333333,0.9047619047619048,10
147,PH201700000533,15.3007629238,120.886980702,533.0,U,44979.260869565216,8.565217391304348,1.0,2
148,PH201700000534,15.2738156927,120.862981125,534.0,R,4656.88,7.36,0.92,10
149,PH201700000535,15.3417592601,120.978972243,535.0,U,42150.17391304348,8.695652173913043,0.9565217391304348,2
150,PH201700000536,15.7789389747,120.993473969,536.0,U,61245.36,8.96,1.0,2
151,PH201700000537,15.7698648726,120.654566873,537.0,R,47302.85,10.45,1.0,10
152,PH201700000538,16.0103238176,121.0488015,538.0,R,-4086.181818181818,8.545454545454545,0.8636363636363636,10
153,PH201700000539,15.4743396526,121.026591273,539.0,U,78126.08333333333,11.625,1.0,2
154,PH201700000540,15.5979951874,121.085891469,540.0,R,36618.045454545456,9.636363636363637,1.0,10
155,PH201700000541,15.3206845321,121.066295151,541.0,R,31779.115384615383,8.192307692307692,1.0,10
156,PH201700000542,15.1350303542,120.601518974,542.0,U,105020.53333333334,10.333333333333334,1.0,2
157,PH201700000543,15.1614975388,120.633421113,543.0,U,114099.0,9.157894736842104,1.0,2
158,PH201700000544,15.1708751705,120.566977653,544.0,U,103560.36363636365,10.545454545454543,1.0,2
159,PH201700000545,15.1556897774,120.590721681,545.0,U,77106.05882352941,9.529411764705882,1.0,2
160,PH201700000546,15.1444928952,120.604204248,546.0,U,142817.58823529413,11.941176470588236,1.0,2
161,PH201700000547,15.1240746671,120.613366383,547.0,U,79494.63636363637,9.454545454545457,1.0,2
162,PH201700000548,15.1660991592,120.509984974,548.0,R,-21200.5,6.277777777777778,0.8333333333333334,10
163,PH201700000549,15.1515450598,120.554836172,549.0,U,104674.73333333334,10.266666666666667,1.0,2
164,PH201700000550,15.2401401816,120.667845694,550.0,R,85626.59090909091,9.909090909090908,1.0,10
165,PH201700000551,15.125359071,120.669044463,551.0,U,100389.2,8.933333333333334,1.0,2
166,PH201700000552,15.2240161306,120.62980311,552.0,U,87532.57142857143,8.952380952380953,0.9523809523809524,2
167,PH201700000553,15.1159839343,120.638358678,553.0,U,140926.07142857142,13.0,1.0,2
168,PH201700000554,14.9425804736,120.744793457,554.0,U,99830.31818181818,10.0,1.0,2
169,PH201700000555,14.9522619256,120.756679526,555.0,U,98080.69565217392,9.130434782608695,1.0,2
170,PH201700000556,15.1301700559,120.681387355,556.0,R,51210.72,8.76,1.0,10
171,PH201700000557,15.061011568,120.720183342,557.0,U,76829.31818181818,9.636363636363637,0.9545454545454546,2
172,PH201700000558,15.0229435141,120.690318903,558.0,U,62348.92,9.6,1.0,2
173,PH201700000559,14.9656191083,120.653039756,559.0,U,103152.21739130437,9.434782608695652,1.0,2
174,PH201700000560,14.967601913,120.779293542,560.0,U,64469.142857142855,9.761904761904765,0.9523809523809524,2
175,PH201700000561,15.0212131867,120.715562362,561.0,R,73636.37037037036,10.148148148148149,0.9629629629629628,10
176,PH201700000562,15.7850434821,120.595450375,562.0,R,10304.285714285714,10.38095238095238,1.0,10
177,PH201700000563,15.7222458454,120.463489683,563.0,R,37020.458333333336,9.166666666666666,1.0,10
178,PH201700000564,15.6978215951,120.331664716,564.0,R,2362.0625,10.3125,0.9375,10
179,PH201700000565,15.4621316743,120.613792287,565.0,R,65355.84,9.64,1.0,10
180,PH201700000566,15.4839184311,120.586909884,566.0,U,131027.625,12.125,1.0,2
181,PH201700000567,15.2596086085,120.523614891,567.0,U,79362.79166666667,10.375,1.0,2
182,PH201700000568,15.6267834485,120.578908935,568.0,R,16500.619047619046,9.476190476190476,0.9047619047619048,10
183,PH201700000569,15.6860756902,120.555316711,569.0,R,-20386.45833333333,8.541666666666666,1.0,10
184,PH201700000570,15.5733569095,120.663452074,570.0,R,18886.071428571428,9.142857142857142,1.0,10
185,PH201700000571,15.423275779,120.59976518,571.0,U,114547.0588235294,11.176470588235292,1.0,2
186,PH201700000572,15.426137754,120.666332302,572.0,R,100134.69565217392,11.347826086956522,1.0,10
187,PH201700000573,15.4813784677,120.60578041,573.0,U,2872.695652173913,7.739130434782608,0.9565217391304348,2
188,PH201700000574,14.8562974339,120.294384669,574.0,U,123464.78571428572,12.0,1.0,2
189,PH201700000575,14.8474209815,120.30031372,575.0,U,75262.68421052632,8.368421052631579,0.9473684210526316,2
190,PH201700000576,14.8441600274,120.302141989,576.0,U,70408.66666666667,10.22222222222222,1.0,2
191,PH201700000577,14.8429262882,120.30399607,577.0,U,32883.68421052631,10.473684210526317,0.7894736842105263,2
192,PH201700000578,14.8373738065,120.318599278,578.0,R,51007.35294117647,11.117647058823527,1.0,10
193,PH201700000579,14.8420350659,120.26795204,579.0,U,89610.70588235294,9.411764705882351,1.0,2
194,PH201700000580,14.8429249713,120.289505869,580.0,U,85978.68421052632,11.68421052631579,0.9473684210526316,2
195,PH201700000581,14.8409410255,120.272751318,581.0,U,124118.0625,10.6875,1.0,2
196,PH201700000582,15.1309190641,120.048068834,582.0,R,46768.90909090909,9.454545454545457,0.9545454545454546,10
197,PH201700000583,15.584998709,119.935507055,583.0,U,18866.85185185185,13.88888888888889,1.0,2
198,PH201700000584,15.1568287578,120.068677406,584.0,R,-42270.208333333336,7.416666666666667,0.7916666666666666,10
199,PH201700000585,15.0629501032,120.103210307,585.0,R,85471.16666666667,11.416666666666666,0.9583333333333334,10
200,PH201700000586,14.9082115121,120.201914677,586.0,U,50473.04347826087,11.478260869565217,1.0,2
201,PH201700000587,14.9721060381,120.225823474,587.0,R,-9905.05,7.65,0.8,10
202,PH201700000588,15.1629663817,120.035985619,588.0,R,121717.09090909093,11.818181818181818,1.0,10
203,PH201700000589,15.4863264707,119.953811994,589.0,R,27311.526315789477,9.31578947368421,1.0,10
204,PH201700000590,15.5259058836,119.9577916,590.0,U,22828.17391304348,7.478260869565218,0.9565217391304348,2
205,PH201700000591,15.1624015337,120.225714729,591.0,R,-111458.125,4.541666666666667,0.4166666666666667,10
206,PH201700000592,14.91372435,120.239790163,592.0,R,93283.26086956522,11.391304347826088,0.9565217391304348,10
207,PH201700000593,14.9444813892,120.195408319,593.0,U,36633.52,9.72,0.92,2
220,PH201700000606,14.4338284481,120.922250807,606.0,R,122389.05263157896,11.736842105263158,1.0,10
221,PH201700000607,14.4079073346,120.919666045,607.0,R,124552.69565217392,12.043478260869565,1.0,10
222,PH201700000608,14.4122813841,120.843801784,608.0,U,36548.0,8.681818181818182,0.9545454545454546,2
223,PH201700000609,14.288333929,121.00118168,609.0,U,79346.04,10.0,1.0,2
224,PH201700000610,14.2020632909,120.864182513,610.0,R,57356.8,11.25,1.0,10
225,PH201700000611,14.2790918701,120.795271417,611.0,R,48106.28571428572,9.535714285714286,1.0,10
226,PH201700000612,14.310316585,120.945458237,612.0,R,155621.05263157896,13.789473684210526,1.0,10
227,PH201700000613,14.4086747353,120.930163819,613.0,R,135402.3,12.3,1.0,10
228,PH201700000614,14.3832579804,120.92256372,614.0,R,132138.3,13.2,1.0,10
229,PH201700000615,14.3926823008,120.873923145,615.0,U,29659.08695652174,11.434782608695652,1.0,2
230,PH201700000616,14.3901997862,120.857328204,616.0,R,54849.375,8.333333333333334,0.9166666666666666,10
231,PH201700000617,14.0902931737,120.933503565,617.0,U,29748.947368421053,9.63157894736842,1.0,2
232,PH201700000618,14.1252334852,121.324959805,618.0,U,44493.84615384616,9.961538461538462,0.9615384615384616,2
233,PH201700000619,14.2045657781,121.227146938,619.0,U,73105.46153846153,10.692307692307692,0.9615384615384616,2
234,PH201700000620,14.1510221942,121.253753424,620.0,R,6752.0,8.26923076923077,0.8846153846153846,10
235,PH201700000621,14.2613837751,121.065976205,621.0,U,39662.16,10.56,1.0,2
236,PH201700000622,14.2732234483,121.130512507,622.0,U,95893.23076923077,11.576923076923077,1.0,2
237,PH201700000623,14.2891463968,121.097658503,623.0,R,28019.28,10.68,1.0,10
238,PH201700000624,14.46538423,121.422094977,624.0,R,60897.10344827586,9.310344827586206,1.0,10
239,PH201700000625,14.0851807248,121.33649417,625.0,R,19984.30769230769,8.423076923076923,0.9615384615384616,10
240,PH201700000626,14.2007101388,121.083119455,626.0,U,108631.42307692308,11.846153846153848,1.0,2
241,PH201700000627,14.247383537,121.146233208,627.0,U,100968.64,11.8,1.0,2
242,PH201700000628,14.330582051,121.052438629,628.0,U,-3059.52,9.28,0.96,2
243,PH201700000629,14.178892475,121.200553203,629.0,U,53860.07692307692,9.5,0.9615384615384616,2
244,PH201700000630,13.9608601032,121.619011874,630.0,U,2267.8636363636365,9.636363636363637,1.0,2
245,PH201700000631,13.9361335038,121.596715739,631.0,U,84127.41176470589,12.058823529411764,1.0,2
246,PH201700000632,13.924889222,121.609361765,632.0,U,39495.9,10.8,1.0,2
247,PH201700000633,13.9478812368,121.57258975,633.0,U,30832.117647058825,10.882352941176473,1.0,2
248,PH201700000634,13.9038036478,121.587910674,634.0,R,-40418.6,6.1,0.95,10
249,PH201700000635,13.9349947736,121.429069739,635.0,U,123510.90909090907,12.045454545454543,1.0,2
250,PH201700000636,13.9488692939,121.35767531,636.0,R,41543.8,7.5,1.0,10
251,PH201700000637,13.9570835986,121.938808332,637.0,R,-78974.25,9.083333333333334,0.5833333333333334,10
252,PH201700000638,13.9512546202,122.28380788,638.0,U,38307.0,9.15,0.85,2
253,PH201700000639,13.860099944,121.92394892,639.0,R,-13598.421052631578,9.0,0.8947368421052632,10
254,PH201700000640,14.0194853812,122.516309685,640.0,R,-27074.052631578947,8.368421052631579,0.8947368421052632,10
255,PH201700000641,14.1485027842,121.651834234,641.0,R,75219.82608695653,11.130434782608695,0.9565217391304348,10
256,PH201700000642,13.9638061746,121.5230027,642.0,R,-16319.96,6.92,0.88,10
257,PH201700000643,13.8790689552,121.320862431,643.0,R,-4076.4545454545455,7.409090909090909,1.0,10
258,PH201700000644,14.029153525,122.43469043,644.0,R,-45371.09090909091,7.318181818181818,0.9545454545454546,10
259,PH201700000645,14.008235763,122.619717219,645.0,R,-53987.681818181816,7.818181818181818,0.9090909090909092,10
260,PH201700000646,13.6360349006,122.481464272,646.0,R,-84830.04545454546,6.818181818181818,0.8181818181818182,10
261,PH201700000647,14.7121605914,121.142483446,647.0,U,85827.38461538461,11.346153846153848,0.9615384615384616,2
262,PH201700000648,14.7508143648,121.136881545,648.0,U,50966.19230769231,9.884615384615383,1.0,2
263,PH201700000649,14.6414344843,121.151421704,649.0,U,74390.96153846153,10.115384615384617,1.0,2
264,PH201700000650,14.5029007379,121.27720852,650.0,U,94702.8,12.64,0.96,2
265,PH201700000651,14.4737996228,121.210184196,651.0,U,83350.83333333333,10.541666666666666,1.0,2
266,PH201700000652,14.547384031,121.122779015,652.0,U,61643.91666666666,10.333333333333334,1.0,2
267,PH201700000653,14.5659420454,121.126347982,653.0,U,62594.807692307695,10.076923076923077,0.9615384615384616,2
268,PH201700000654,14.7445752345,121.167938814,654.0,U,180158.35,12.75,1.0,2
269,PH201700000655,14.6271858633,121.167458123,655.0,U,67563.19230769231,9.807692307692308,1.0,2
270,PH201700000656,14.5140127104,121.23949326,656.0,U,49459.38461538462,9.461538461538462,0.8846153846153846,2
271,PH201700000657,14.5821063667,121.148649528,657.0,U,-2495.12,7.96,0.76,2
272,PH201700000658,14.5527789742,121.136791924,658.0,U,91203.68181818182,9.363636363636363,1.0,2
273,PH201700000727,13.2736321282,123.771935718,727.0,U,14376.68,9.44,1.0,2
274,PH201700000728,13.2617039325,123.438660675,728.0,R,-23843.95652173913,9.73913043478261,0.6956521739130435,10
275,PH201700000729,13.2368753555,123.486941494,729.0,R,-38756.54166666666,8.333333333333334,0.75,10
276,PH201700000730,13.1311120968,123.747321813,730.0,U,39041.30434782609,12.130434782608695,0.9130434782608696,2
277,PH201700000731,13.1366892312,123.690563154,731.0,R,-67156.16,8.16,0.88,10
278,PH201700000732,13.0654919923,123.690481582,732.0,U,33822.1,10.05,0.75,2
279,PH201700000733,13.2455072492,123.720499647,733.0,R,25460.58333333333,8.833333333333334,0.9166666666666666,10
280,PH201700000734,13.3304338086,123.736689091,734.0,R,16195.125,10.875,1.0,10
281,PH201700000735,13.2444079617,123.955253671,735.0,R,-68971.3,8.05,0.7,10
282,PH201700000736,13.0982898609,123.589401861,736.0,R,2193.583333333333,10.041666666666666,0.9166666666666666,10
283,PH201700000737,13.0964533447,123.657371192,737.0,R,-7680.25,10.791666666666666,0.9583333333333334,10
284,PH201700000738,13.1295255198,123.568200146,738.0,R,-84894.47826086957,8.391304347826088,0.9130434782608696,10
285,PH201700000739,14.2713416604,122.572260889,739.0,R,-59268.72727272727,8.045454545454545,0.9090909090909092,10
286,PH201700000740,14.1754123761,122.637161724,740.0,R,-44986.5,7.923076923076923,0.9230769230769232,10
287,PH201700000741,14.1482946593,122.860884889,741.0,R,-22596.83333333333,8.375,0.875,10
288,PH201700000742,14.1509383394,122.976218973,742.0,R,19269.666666666668,10.142857142857142,1.0,10
289,PH201700000743,14.1777396069,122.929637436,743.0,R,15930.347826086956,9.956521739130435,0.9130434782608696,10
290,PH201700000744,14.0949504696,123.031316396,744.0,R,-21454.6,8.4,1.0,10
291,PH201700000745,14.2822515602,122.692588527,745.0,U,45770.2,9.68,0.96,2
292,PH201700000746,14.2729065087,122.822422268,746.0,R,3327.055555555556,8.944444444444445,1.0,10
293,PH201700000747,14.1534498012,122.528053808,747.0,R,-63602.90909090909,6.909090909090909,0.7727272727272727,10
294,PH201700000748,14.1025359021,122.9699025,748.0,R,9113.375,9.125,0.9583333333333334,10
295,PH201700000749,14.1171832791,123.001517187,749.0,U,50035.12,10.8,1.0,2
